paper_id,citation_durability,independent_lab_uptake,mechanistic_uptake,intervention_uptake,ontological_uptake,review_integration,clinical_or_engineering_consequence,replication_or_transport,disruptiveness,outcome_measurement_status,outcome_notes
A0001,,,,,,,,,not_measured,"Outcome dimensions intentionally deferred to a bibliometric/content-analysis workflow; OpenAlex citation count is in papers.csv."
A0002,,,,,,,,,not_measured,"Likely high on review integration and mechanistic uptake, but should be measured rather than assumed."
A0003,,,,,,,,,not_measured,"Likely high on intervention uptake; requires systematic downstream citation coding."
A0004,,,,,,,,,not_measured,"Likely high on ontological uptake/disruptiveness; requires citation-network measurement."
B0001,,,,,,,,,not_measured,"Useful negative comparator; outcome coding should distinguish citation as historical error from durable uptake."
B0002,,,,,,,,,not_measured,"May be progress-like rather than control; outcome workflow can help diagnose."
B0003,,,,,,,,,not_measured,"Needs downstream uptake coding in polarity/developmental biology literature."
B0004,,,,,,,,,not_measured,"May represent theoretical uptake of A0004 rather than an independent control."
C0001,,,,,,,,,not_mature,"Recent but already highly cited; outcome maturity window needs special handling."
C0002,,,,,,,,,not_mature,"Recent atlas; outcome dimensions need a shorter-window coding plan."
C0003,,,,,,,,,partially_mature,"Enough time for early uptake, but not a full 10-year window."
C0004,,,,,,,,,not_mature,"COVID-specific context may inflate citations; transport and mechanistic uptake need separate coding."
D0001,,,,,,,,,measurable,"Older computational biology method; ready for outcome coding."
D0002,,,,,,,,,measurable,"Older resource paper; ready for outcome coding."
D0003,,,,,,,,,measurable,"Method/platform paper; evaluate as infrastructure-enabling causal tests."
D0004,,,,,,,,,measurable,"Older statistical genetics method; ready for outcome coding."

